Predicted_sentiment,Sentence
positive,Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million .
positive,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems ."
positive,"Kesko pursues a strategy of healthy , focused growth concentrating on sales and services to consumer-customers ."
neutral,"Vaisala , headquartered in Helsinki in Finland , develops and manufactures electronic measurement systems for meteorology , environmental sciences , traffic and industry ."
neutral,"Also , a six-year historic analysis is provided for these markets ."
positive,"Elcoteq 's stock of orders has stabilised in the past weeks , Mr Krippl said ."
neutral,"Also , a six-year historic analysis is provided for this market ."
neutral,"In addition , nine fixed-term employment contracts will not be extended and two people will leave the company under pension arrangements ."
negative,"Operating loss totalled EUR 0.9 mn , down from a profit of EUR 2.7 mn ."
neutral,The Insolvency Act regulates the amount of debt that borrowers are permitted to write off .
neutral,The company will issue an inaugural Eurobond deal in the near future subject to market conditions .
neutral,Airbus will attempt to evacuate up to 873 people within 90 seconds .
positive,UPM-Kymmene has generated seventeen consecutive quarters of positive Cash Flow from Operations .
neutral,"Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio ."
neutral,"Fortum expects its annual capital expenditure in the next four to five years to be within a range of EUR 0.8-1 .2 billion , as earlier announced ."
neutral,"In 2006 , 452 million tonnes CO2 of EUA ( EU Allowance ; emissions credit in EU ) was traded with an underlying market value approx ."
neutral,"According to Tyrv+ñinen 's estimation , Japan is a very essential location in terms of Finnair 's Asian strategy ."
positive,"Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete ."
neutral,Nordea was the cheapest also for a couple in their 30s with debt .
neutral,The companies aim to close the deal before the end of the year .
negative,"Several large stocks tacked lower , however ."
neutral,"With this , the company will exit the contract manufacturing service segment ."
positive,"The tower it chose to add , due to go into operation in the summer , will increase total capacity to 80 broadsheet or 160 tabloid pages , with the ability to run 32 - and 48-page products side by side ."
neutral,Boomerang Boats had net sales of EUR 4.1 mn and it made an operating profit of EUR 0.4 mn in 2006 .
neutral,"It operates under three distinct brands : United Supermarkets , Market Street and United Supermercado ."
neutral,"The contractor of the shopping center , China State Construction Engineering Corporation , has previously built e.g. airports , hotels and factories for large international customers in different parts of the world ."
neutral,The order was valued at USD12 .2 m.
positive,"To our members and partners , the use of IT will mostly be apparent in the increased efficiency of the results service , '' observes Perttu Puro from Tradeka ."
positive,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .
positive,"Lule+Ñ municipality has awarded YIT a 2-year contract , for property management of about one third of the municipality 's properties , with a total area of 140,000 sq. metres ."
